text_id,author_id
10000054,610435
10000427,275832
10000475,275832
10000487,275832
10002457,3553868
10002804,1687076
10003215,3442152
10003897,2310690
10003910,697182
10004146,2729950
10004530,3733590
10004565,3733590
10005056,4519635
10005288,3513191
10005546,3113998
10006586,4065407
10007004,2281408
10007275,3688247
10008344,42079
10009218,610435
10009566,1412953
10010523,2729950
10011056,3074519
10012744,121952
10012812,4849168
10012823,610435
10012934,3976118
10013496,4362097
10013702,4849168
10014439,3826931
10014916,3715300
1001505,134502
1001737,380667
10017511,4506937
10018212,4706204
10018641,2692839
10018722,3235252
10018781,4306332
10018789,331230
10018838,610435
10019396,3511115
10020035,3099518
1002004,99653
1002035,173154
10021104,46114
10021666,4344837
10021843,1060214
10022007,3122303
10022063,610435
10022564,3962354
10022686,2871162
10022754,4306332
10022858,2566124
10023089,1740320
10023393,1740320
10023786,4071574
10023976,1412953
10023990,3301701
10024012,3222082
10024250,289443
10025180,4526448
10025255,3134528
10025587,4708235
10026001,4076384
10026309,2554986
10026453,610435
10026798,2871162
1003580,18791
1003710,42893
1004370,380667
1005250,214200
1005836,292370
1007195,380667
1007392,58425
1007971,376426
1008016,46672
1008152,312756
1008254,42893
1008263,42893
1008277,42893
1009624,26048
1013589,340910
1015422,224476
1015590,305853
1016183,248656
1017346,59038
1017573,353685
1017827,184335
1019300,159066
1019330,82871
1020247,358384
1021773,317942
1029764,332458
1030590,185413
1030709,383685
1031661,42893
1031666,42893
1031758,182343
1033427,368238
1036616,244567
1036885,244567
1041132,182343
1041179,376426
1041757,246956
1042280,287544
1042312,287544
1045427,346532
1046161,25383
1048057,308474
1048099,7286
104931,40171
1050555,139311
1050573,139311
1050597,139311
1051301,25383
1052350,159394
1054715,346532
1056544,333670
1056725,243879
1056739,243879
1056920,243879
1056929,243879
1056934,243879
1056940,243879
1057192,249750
1058383,380997
1058399,25383
1058832,215277
1059390,305853
1059723,53505
1059936,356273
1061039,14961
1061267,14961
106155,6888
1062961,219896
1063600,365323
106397,38502
106404,38502
1064217,99653
1064519,119612
1064960,251517
1066969,229286
1070588,90141
1070644,90141
1070674,90141
1072377,177955
1073017,356273
1074592,96002
1077033,10671
1078211,333530
108151,41396
108154,41396
1081932,58425
1082074,73231
1084137,106764
1085126,410569
1087589,374858
1089815,269190
1090627,410569
1091164,353685
1097449,168333
1098567,177955
1100055,117252
1100422,132757
1102110,149636
1104197,425509
1104570,308474
1104946,309556
1106274,274067
1106682,329640
1107394,47449
1107930,426924
110906,45902
1109532,41851
1109977,279911
1110798,26067
1112746,351517
1113087,201325
1113378,411306
