117252,|/3432595|/2106292|/1951659|/1529840|/1345987|/1331014|/1100055|/863166|/774279|/752053|/723292|/646512|/645003|/643041|/629617|/628328|/604753|/600843|/590221|/544547|/534296|/487949|/476508|/476504|/476502|/476501|/476497|/476494|/448581|/448344|/448240|/446847|/445367|/444932|/444680|/443088|/442873|/442359|/441875|/440794|/440378|/440146|/439367|/438752|/438667|/438315|/437375|/437028|/436909|/436506|/435847|/434824|/434205|/433862|/433752|/433640|/432378|/431580|/431576|/430883|/430558|/429653|/427907|/419566|/406457
346532,|/6175330|/4704688|/4315364|/3017364|/3004790|/2436962|/2399118|/2228807|/2123842|/2099397|/2036711|/2022893|/1987759|/1985873|/1979995|/1973434|/1964455|/1953833|/1831630|/1815057|/1804088|/1781430|/1771135|/1734001|/1725481|/1711117|/1689390|/1653955|/1642122|/1629545|/1570100|/1543944|/1519870|/1488879|/1447966|/1397354|/1383012|/1329755|/1315498|/1315423|/1293750|/1278907|/1274925|/1270468|/1267596|/1263578|/1250892|/1220536|/1217178|/1212653|/1186277|/1175071|/1163122|/1159955|/1144022|/1117535|/1077408|/1064575|/1061699|/1058271|/1054715|/1045585|/1045481|/1045427
687970,|/9189531|/8905639|/7830376|/3965641|/6913995|/4970863|/5938343|/5908821|/5496095|/4994746|/4957595|/4853448|/4242937|/4018908|/4009157|/3963415|/3938609|/3889279|/3680156|/3675671|/3673539|/3672344|/3666026|/3611547|/3600991|/3599255|/3599154|/3599059|/3580409|/3579355|/3573549|/3572014|/3488157|/3483602|/3482927|/3431503|/3428771|/3416370|/3416327|/3404396|/3269988|/3245211|/3232252|/3227016|/3182559|/3131497|/2983275|/2980581|/2980569
2883427,|/9964924|/9937117|/9887224|/9853646|/9828613|/9794950|/9603223|/9512960|/9493441|/9480864|/9441942|/9441563|/9393416|/9388876|/9360446|/9271989|/9269393|/9230804|/9218826|/9170766|/9147251|/9039625|/9071287|/9114105|/9038274|/8866975|/8349162|/8302569|/8294348|/8277445|/8269932|/8247044|/8221398|/8221311|/8184397|/8130390|/8124484|/8122887|/8094862|/8061314|/8061296|/7974009|/7398797|/6924391
523849,|/8937569|/7196417|/7150151|/7082672|/6825336|/6692929|/6488488|/6413378|/6386140|/6281058|/6069370|/5889932|/5858200|/5837350|/5826131|/5770795|/5697167|/5312372|/4641091|/4157997|/4610631|/4134884|/4027762|/4013660|/3896246|/3670797|/3535234|/3526756|/3405026|/3387813|/2744494|/2729828|/2716798|/2707297|/2691031|/2684186|/2630002|/2472062|/2451517|/2448761|/2391343|/1961676
30124,|/3606113|/3497881|/3366769|/3128651|/3005809|/2690071|/2686158|/2680194|/2624947|/2613917|/2599610|/2561955|/2518569|/2507323|/2474645|/2397319|/2397305|/1897790|/1851707|/1819996|/1584632|/1465451|/1398252|/1333605|/1306591|/1201346|/1173112|/997380|/963038|/920065|/778724|/771459|/741536|/735184|/650554|/647912|/647885|/643547|/467966|/467748|/467368
2931545,|/9876957|/9852815|/9806595|/9678465|/9668792|/9726152|/9750524|/9723862|/9660070|/9659651|/9659442|/9595514|/8573721|/7819031|/9563075|/9445344|/9476979|/9444900|/9361803|/9435013|/9304812|/9270068|/9226906|/9069527|/9164083|/9165902|/9159556|/9135984|/9127216|/8904960|/7870505|/7788816|/7565044|/7499836|/7470201|/7462600|/7306942|/7240971|/7144574|/7137158
99653,|/9170539|/8797735|/8691878|/7617791|/7378829|/7378275|/4564014|/4341287|/4272107|/4035290|/3727229|/3598274|/3373594|/3350059|/3252104|/3195440|/3193188|/3191895|/2905562|/2881196|/2734400|/2286573|/2220244|/2172076|/2160697|/1778083|/1710965|/1672184|/1670356|/1632863|/1480190|/1411601|/1366847|/1333613|/1240790|/1064217|/1038487|/1002004|/615370|/504767
1400,|/9969169|/9020043|/8947837|/8791297|/8089328|/8088745|/7965752|/7958873|/7910552|/7623805|/7591056|/7587896|/7584568|/7536385|/7532303|/7531965|/7522293|/7522024|/6164589|/5866876|/5802878|/5801806|/5734944|/5608989|/5501856|/5442493|/5316931|/5308381|/5277315|/5218570|/5207493|/5127778|/5083853|/5048998|/5041538|/5036079|/4660488|/4633133|/4140078
1304723,|/6038061|/5914880|/5350122|/4392447|/4099775|/3792237|/3782913|/3771693|/3765909|/3723519|/3697839|/3680618|/3661989|/3650497|/3618677|/3570570|/3560546|/3560460|/3556541|/3555290|/3524440|/3523394|/3520255|/3516446|/3481773|/3478305|/3478293|/3467851|/3464313|/3464303|/3464293|/3461580|/3461168|/3460999|/3460954|/3460802|/3421310|/3420821
